pattern_id,pattern,match_count,seconds
289,*/Chrome/Default/Cookies*,0,1.798202
290,*/app_sbrowser/Default/Cookies*,0,1.844667
291,*/app_opera/Cookies*,0,1.869114
292,*/Chromium/Default/Cookies*,0,1.889250
293,*/Chrome/Default/Login Data*,2,1.869143
294,*/app_sbrowser/Default/Login Data*,0,1.851044
295,*/app_opera/Login Data*,0,1.901705
296,*/Chromium/Default/Login Data*,2,1.855042
297,*/Chrome/Default/Top Sites*,2,1.919666
298,*/app_sbrowser/Default/Top Sites*,0,1.840740
299,*/app_opera/Top Sites*,0,1.803134
300,*/Chromium/Default/Top Sites*,0,1.839116
301,*/Chrome/Default/Offline Pages/metadata/OfflinePages.db*,0,1.894174
302,*/app_sbrowser/Default/Offline Pages/metadata/OfflinePages.db*,0,1.806599
303,*/Chromium/Default/Offline Pages/metadata/OfflinePages.db*,0,1.801450
304,*/Chrome/Default/Media History*,0,1.906607
305,*/app_sbrowser/Default/Media History*,0,1.978990
306,*/app_opera/Media History*,0,1.960107
307,*/Chromium/Default/Media History*,0,2.063048
308,*/Chrome/Default/Network Action Predictor*,0,1.891738
309,*/app_sbrowser/Default/Network Action Predictor*,0,1.870576
310,*/app_opera/Network Action Predictor*,0,1.897119
311,*/Chromium/Default/Network Action Predictor*,0,1.830248
312,*/mobile/Library/Preferences/com.apple.AppStore.plist,1,0.494372
313,*/mobile/Containers/Data/Application/*/Library/Preferences/com.adhoclabs.burner.plist,1,1.812876
314,*/mobile/Containers/Data/Application/*/Library/Caches/com.adhoclabs.burner/Cache.db*,3,1.863231
315,*/Library/Caches/com.adhoclabs.burner/fsCachedData/*,6,1.862730
316,*/mobile/Library/Voicemail/voicemail.db*,1,1.768993
317,*/mobile/Library/Voicemail/*.amr,0,1.865551
318,*/mobile/Library/Voicemail/*.transcript,0,1.932996
319,*/mobile/Library/CoreAccessories/Analytics/acc_analytics_accessoryd_v3.db*,0,1.854838
320,*/db/timed/Library/Preferences/com.apple.preferences.datetime.plist,1,0.495236
321,*/mobile/Containers/Data/Application/*/Documents/user.db*,1,1.792944
322,*/mobile/Containers/Shared/AppGroup/*/Documents/tgdata.db*,0,1.854631
323,*/mobile/Containers/Shared/AppGroup/*/Documents/files/*,0,1.818361
324,*/mobile/Containers/Shared/AppGroup/*/Documents/video/*,0,1.862323
325,*/mobile/Containers/Shared/AppGroup/*/Documents/shareDialogList.db*,0,1.959311
326,*/device_values.plist,0,0.497565
327,*/Library/Caches/de.audi.myaudimobileassistant/fsCachedData/**,0,1.921314
328,*/var/mobile/Library/CallHistoryTransactions/transactions.log*,0,1.912778
329,**/SpringBoard/IconState.plist,1,0.506296
330,*/mobile/Containers/Data/Application/*/Documents/persistStore/persist-root,0,1.736967
331,*/Library/Caches/conversation_cache,0,0.509193
332,*/mobile/Containers/Data/Application/*/Library/Application Support/RongCloud/*/storage*,0,1.828752
333,*/mobile/Library/CoreDuet/People/interactionC.db*,3,1.793437
334,*/mobile/Library/Mail/* Index*,6,1.823630
335,*/mobile/Containers/Data/Application/*/Documents/translate.db*,0,1.775203
336,**/kik.sqlite*,3,1.858333
337,*/mobile/Containers/Shared/AppGroup/*/cores/private/*/content_manager/data_cache/*,2,1.836432
338,**/Safari/History.db*,3,1.825397
339,*/mobile/Containers/Shared/AppGroup/*/CCEntitySync-api.squareup.com.sqlite*,0,1.941121
340,*/mobile/Containers/Shared/AppGroup/*/CCEntitySync-internal.cashappapi.com.sqlite*,0,1.912274
341,*/*.mhtml,0,0.494854
342,*/*.mht,0,0.489265
343,**/query_predictions.db,0,0.475434
344,*WebClips/*.webclip/*,0,1.821427
345,*/biome/streams/restricted/_DKEvent.App.InFocus/local/*,0,1.828561
