Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
Ph50AssetIntResouData,Ph50-2-Asset_IntResou-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6480
Ph8HasAdjustment,Ph8-Has Adjustment-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8890
Ph8HasAdjustment,Ph8-Has Adjustment-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1454
Ph8HasAdjustment,Ph8-Has Adjustment-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6662
Ph51PossOptimizedAssetsIntResouData,Ph51-Possible_Optimized_Assets_IntResou-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8871
Ph51PossOptimizedAssetsIntResouData,Ph51-Possible_Optimized_Assets_IntResou-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1433
Ph51PossOptimizedAssetsIntResouData,Ph51-Possible_Optimized_Assets_IntResou-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6666
dmss,Dahua Technology (DMSS),*/Library/Support/Devices.sqlite3*,josh-hickman-ios15.csv,0,0.8792
dmss,Dahua Technology (DMSS),*/Library/Support/configFile1,josh-hickman-ios15.csv,0,0.2992
dmss,Dahua Technology (DMSS),*/Library/Support/*/DMSSCloud.sqlite*,josh-hickman-ios15.csv,0,0.8792
dmss,Dahua Technology (DMSS),*/Documents/Captures/*,josh-hickman-ios15.csv,0,0.8780
dmss,Dahua Technology (DMSS),*/Documents/Videos/*,josh-hickman-ios15.csv,0,0.9007
dmss,Dahua Technology (DMSS),*/Library/Support/Devices.sqlite3*,belkasoft-ctf6-ios-dev1.csv,0,0.1429
dmss,Dahua Technology (DMSS),*/Library/Support/configFile1,belkasoft-ctf6-ios-dev1.csv,0,0.0441
dmss,Dahua Technology (DMSS),*/Library/Support/*/DMSSCloud.sqlite*,belkasoft-ctf6-ios-dev1.csv,0,0.1383
dmss,Dahua Technology (DMSS),*/Documents/Captures/*,belkasoft-ctf6-ios-dev1.csv,0,0.1409
dmss,Dahua Technology (DMSS),*/Documents/Videos/*,belkasoft-ctf6-ios-dev1.csv,0,0.1406
